Company Name,Job Title,Salary,years,Rating,company type,review,Location,Salaries Reported
2COMS,Database Administrator,1000000,24 years old,3.8,Private,(253 Reviews),Bangalore,1
2COMS,Front End Developer,700000,24 years old,3.8,Private,(253 Reviews),Chennai,1
2COMS,Front End Developer,1100000,24 years old,3.8,Private,(253 Reviews),New Delhi,1
2COMS,Java Developer,1000000,24 years old,3.8,Private,(253 Reviews),Chennai,1
2COMS,Java Developer,600000,24 years old,3.8,Private,(253 Reviews),Hyderabad,1
2COMS,Senior Java Developer,500000,24 years old,3.8,Private,(253 Reviews),Hyderabad,1
3i Infotech,Sybase Database Administrator - Contractor,500000,30 years old,3.5,Public,(1.4k Reviews),Bangalore,1
3i Infotech,Senior Java Developer,600000,30 years old,3.5,Public,(1.4k Reviews),Chennai,1
3i Infotech,Mobile App Developer,500000,30 years old,3.5,Public,(1.4k Reviews),Bangalore,1
3i Infotech,Software Development Engineer (SDE),948000,30 years old,3.5,Public,(1.4k Reviews),Mumbai,1
3i Infotech,Test Engineer,500000,30 years old,3.5,Public,(1.4k Reviews),Hyderabad,1
3i Infotech,Test Engineer,100000,30 years old,3.5,Public,(1.4k Reviews),Bangalore,1
3Pillar Global,Software Development Engineer - Intern,144000,17 years old,4.2,LLP,(74 Reviews),New Delhi,2
Aabasoft,Test Engineer,132000,21 years old,4.2,Private,(224 Reviews),Bangalore,1
AB InBev,Software Development Engineer - Intern,456000,35 years old,3.6,Public,(847 Reviews),Hyderabad,1
ABC,Android Developer,500000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Senior Android Developer,1000000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Senior Android Developer,800000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Backend Engineer,1200000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Backend Developer,1000000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,Database Administrator,1000000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,2
ABC,Lead Database Administrator,2700000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,SQL-DBA,700000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,oracle dba,2300000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Front-End Web Deveoloper,300000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Front End Developer,1200000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,IOS Engineer,25344,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Software Engineer (Ios Developer),700000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,Senior IOS Developer,500000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,Sr iOS Developer,1900000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,IOS Developer,900000,80 years old,3.9,Public,(1.1k Reviews),Pune,1
ABC,Senior IOS Developer,408000,80 years old,3.9,Public,(1.1k Reviews),Pune,1
ABC,Java SSE,400000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,2
ABC,Software Engineer - Java Developer,600000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Junior Java Developer - Intern,100000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Python Developer,300000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Python Developer - Intern,300000,80 years old,3.9,Public,(1.1k Reviews),Chennai,1
ABC,Senior Python Developer,600000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Software Development Engineer (SDE) II,1100000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,2
ABC,Software Development Engineer In Test (SDET),500000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,6
ABC,Software Development Engineer,228000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Software Development Engineer (SDE),200000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,10
ABC,Software Development Engineer,200000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,3
ABC,Software Development Engineer - Intern,144000,80 years old,3.9,Public,(1.1k Reviews),Chennai,1
ABC,Software Development Engineer In Test (SDET),1000000,80 years old,3.9,Public,(1.1k Reviews),Chennai,3
ABC,Software Development Engineer,1300000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Software Development Engineer (SDE),500000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,3
ABC,Software Development Engineer In Test (SDET),1140000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Lead Software Development Engineer In Test,2000000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Software Development Engineer (SDE),300000,80 years old,3.9,Public,(1.1k Reviews),Jaipur,1
ABC,Software Development Engineer - Intern,60000,80 years old,3.9,Public,(1.1k Reviews),Kolkata,1
ABC,Software Development Engineer,228000,80 years old,3.9,Public,(1.1k Reviews),Kolkata,1
ABC,Software Development Engineer (SDE),1176000,80 years old,3.9,Public,(1.1k Reviews),Kolkata,1
ABC,Software Development Engineer,500000,80 years old,3.9,Public,(1.1k Reviews),Madhya Pradesh,1
ABC,Software Development Engineer (SDE),600000,80 years old,3.9,Public,(1.1k Reviews),Madhya Pradesh,1
ABC,Software Development Engineer In Test (SDET),300000,80 years old,3.9,Public,(1.1k Reviews),Madhya Pradesh,1
ABC,Software Development Engineer,500000,80 years old,3.9,Public,(1.1k Reviews),Mumbai,1
ABC,Software Development Engineer,1000000,80 years old,3.9,Public,(1.1k Reviews),Mumbai,1
ABC,Software Development Engineer (SDE),700000,80 years old,3.9,Public,(1.1k Reviews),Mumbai,3
ABC,Software Development Engineer In Test (SDET),264000,80 years old,3.9,Public,(1.1k Reviews),Mumbai,1
ABC,Software Development Engineer In Test (SDET) - Contractor,500000,80 years old,3.9,Public,(1.1k Reviews),Mumbai,1
ABC,Software Development Engineer In Test (SDET),1100000,80 years old,3.9,Public,(1.1k Reviews),Mumbai,1
ABC,Software Development Engineer - Intern,120000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,2
ABC,Software Development Engineer,800000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,Software Development Engineer In Test (SDET),100000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,10
ABC,Software Development Engineer (SDE),300000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,6
ABC,Software Development Engineer I,1000000,80 years old,3.9,Public,(1.1k Reviews),New Delhi,1
ABC,Software Development Engineer In Test (SDET),120000,80 years old,3.9,Public,(1.1k Reviews),Pune,2
ABC,Software Development Engineer (SDE),264000,80 years old,3.9,Public,(1.1k Reviews),Pune,1
ABC,Test Engineer,900000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,2
ABC,Test Engineer,288000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Test Engineer,192000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Test Engineer - Contractor,1140000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,1
ABC,Software Test Engineer,500000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,3
ABC,Software Test Engineer,100000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,2
ABC,Tester,96000,80 years old,3.9,Public,(1.1k Reviews),Hyderabad,2
ABC,Test Engineer,200000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,7
ABC,Test Engineer - Intern,120000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Test Engineer,300000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC,Web Developer,168000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,2
ABC,Web Developer,180000,80 years old,3.9,Public,(1.1k Reviews),Bangalore,1
ABC Consultants,Python Developer,200000,54 years old,4.1,Private,(193 Reviews),Bangalore,1
abcd,Database Administrator - Contractor,1100000,201-500 Employees (India),3.7,Private,(146 Reviews),Bangalore,1
abcd,IOS Developer,1290432,201-500 Employees (India),3.7,Private,(146 Reviews),New Delhi,1
abcd,Software Development Engineer (SDE) II,1000000,201-500 Employees (India),3.7,Private,(146 Reviews),Bangalore,2
abcd,Software Development Engineer,348000,201-500 Employees (India),3.7,Private,(146 Reviews),Mumbai,1
abcd,Software Development Engineer (SDE),600000,201-500 Employees (India),3.7,Private,(146 Reviews),Mumbai,1
abcd,Software Development Engineer (SDE) - Intern,204000,201-500 Employees (India),3.7,Private,(146 Reviews),Pune,1
abcd,Test Engineer,100000,201-500 Employees (India),3.7,Private,(146 Reviews),Bangalore,3
abcd,Web Developer,200000,201-500 Employees (India),3.7,Private,(146 Reviews),Bangalore,1
abcd,Web Developer - Intern,120000,201-500 Employees (India),3.7,Private,(146 Reviews),Bangalore,1
ACC,Test Engineer,700000,87 years old,3.9,Public,(2k Reviews),Bangalore,1
Accenture,Senior Android Developer,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,5
Accenture,Android Applications Developer,500000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,2
Accenture,Android Software Developer,400000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Senior Android Applications Developer,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Android Team Lead,1700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Senior Android Software Developer,1500000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Android Developer,1000000,34 years old,4.1,Public,(38.3k Reviews),Chennai,1
Accenture,Senior Android Developer,1500000,34 years old,4.1,Public,(38.3k Reviews),Chennai,1
Accenture,Android Development,400000,34 years old,4.1,Public,(38.3k Reviews),Hyderabad,1
Accenture,Android Developer,1000000,34 years old,4.1,Public,(38.3k Reviews),Pune,1
Accenture,Senior Android Developer,1200000,34 years old,4.1,Public,(38.3k Reviews),Pune,1
Accenture,Senior Android Developer Contractor,348000,34 years old,4.1,Public,(38.3k Reviews),Pune,1
Accenture,"Software Engineer, Backend",444000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Backend Developer,500000,34 years old,4.1,Public,(38.3k Reviews),New Delhi,1
Accenture,Senior SQL Server Database Administrator,1900000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,2
Accenture,DB2 Database Administrator,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,2
Accenture,Database Developer,1000000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,SQL Server Database Administrator,780000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,SQL Database Administrator,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Database Analyst,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,SQL-DBA,600000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Oracle Database Developer,600000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Senior DB2 Database Administrator,800000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Database Administrator Specialist,1500000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Mainframe DB2 Database Administrator,800000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Front End Developer,120000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Front End Web Developer,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,4
Accenture,Senior Front End Developer,800000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Front End Associate,1200000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Front End UI Developer,700000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,React Front End Developer,1500000,34 years old,4.1,Public,(38.3k Reviews),Bangalore,1
Accenture,Front End Associate,800000,34 years old,4.1,Public,(38.3k Reviews),Chennai,1
Accenture,Front End Web Development,500000,34 years old,4.1,Public,(38.3k Reviews),Chennai,1
Accenture,Front End Web Developer,500000,34 years old,4.1,Public,(38.3k Reviews),Hyderabad,1
Accenture,Front End Engineer,600000,34 years old,4.1,Public,(38.3k Reviews),Hyderabad,1
Accenture,Front-End Web Developer,180000,34 years old,4.1,Public,(38.3k Reviews),Hyderabad,1
Accenture,Front End UI Developer,400000,34 years old,4.1,Public,(38.3k Reviews),Hyderabad,1
Accenture,Front End Dev,636000,34 years old,4.1,Public,(38.3k Reviews),Hyderabad,1
Accenture,Front End Developer,504000,34 years old,4.1,Public,(38.3k Reviews),New Delhi,4
Accenture,Senior Front-end Web Developer,700000,34 years old,4.1,Public,(38.3k Reviews),Pune,1
Accenture,Front End Development Senior Analyst,852000,34 years old,4.1,Public,(38.3k Reviews),Pune,1
Accenture,IOS Software Developer,600000,34 years old,4.1,Public,(38.3k Reviews),New Delhi,1
Accenture,Software Engineer (Ios Developer),228000,34 years old,4.1,Public,(38.3k Reviews),New Delhi,1
Accenture,Junior IOS Developer,600000,34 years old,4.1,Public,(38.3k Reviews),New Delhi,1
Accenture,Java Developer,400000,34 years old,4.1,Public,(38.3k Reviews),Chennai,2
Accenture,Senior Java Developer,500000,34 years old,4.1,Public,(38.3k Reviews),Chennai,5
Accenture,Java SSE,200000,34 years old,4.1,Public,(38.3k Reviews),Chennai,5
